TABLE_SCHEMA,TABLE_NAME
transactions,vw_GetIntiqalPersonInfoKhatuni
transactions,vw_IntiqalPersonShare
transactions,vw_GetIntiqalPersonShare
transactions,vw_GetIntiqalKhatuni
transactions,vw_GetIntiqalKhasraDetail
transactions,vw_GetKhatuniDescriptionbyKhewat
transactions,vw_GetTaghayarWithKhasraNo
transactions,vw_ForGetTaghayar
transactions,vw_GetKhasraInfo
transactions,vw_GetTaghayarKhatuniDesc1
transactions,vw_CourtOrder
transactions,vw_GetTaghayarKhatuniDesc
transactions,vw_GetRegistryInfo
transactions,vw_GetPersonIntiqalInfo
transactions,vw_RptCourtOrder
transactions,vw_GetMessage
transactions,vw_GetTaghayarInfo
transactions,vw_GetTaghayar
transactions,vw_IntiqalBankOrder
transactions,vw_IntiqalCharges
transactions,vw_Intiqal
transactions,vw_IntiqalKhasraByIntiqalKhewat
transactions,vw_IntiqalKhasra
transactions,vw_ChallanForm
transactions,vw_DailyMutationsFee
transactions,vw_NaqshaKharaba
transactions,vw_MonthlyMutationsFee
transactions,vw_GetTaghayarKhatuniDesc3
transactions,vw_GetTaghayarKhatuniDesc2
transactions,vw_DailyInitqalCount
transactions,vw_YearlMutationCounts
transactions,vw_GetTransactionImages
transactions,vw_IntiqaalPersonShare
transactions,vw_GetTransactionImagesRecords
transactions,vw_ParchaYadasht
transactions,vw_MonthlyMutationCounts
transactions,vw_GetTransactionImagesIds
transactions,vw_DailyMutationCounts
transactions,vw_IntiqalPerson
transactions,vw_YearlyMutationsFee
transactions,vw_IntiqalMauza
transactions,vw_Challan
transactions,vw_IntiqalPersonInfo
transactions,vw_IntiqalPersonKhasra
transactions,vw_KhasraByKhatuniId
transactions,vw_OwnershipDetailAgainKhudkashtKhatuni
transactions,vw_RptIntiqalPersonShare
transactions,vw_PossessonDetailAgainstKhasra
transactions,vw_Intiqaal
transactions,vw_TransactionVisitor
transactions,ChallanForm
transactions,vw_RptIntiqalKhasra
transactions,CourtOrder
transactions,vw_RptIntiqalKhasraByKhatuni
transactions,vw_RptIntiqalKhasra_khanaKasht
transactions,vw_RptIntiqalKhasraFalse
transactions,vw_rptDailyInitqalFees
transactions,vw_TashKhessMaalia
transactions,HistoryIntiqalCourtOrder
transactions,vw_RptIntiqalKhatuniDescriptionTrue
transactions,HistoryIntiqalKhasra
transactions,vw_RptIntiqalKhatuniDescriptionTrue_FakPata
transactions,HistoryIntiqalKhatuni
transactions,vw_RptIntiqalKhatuniDescriptionTrue_Khatuni
transactions,HistoryIntiqalBankOrder
transactions,vw_RptIntiqalKhatuniDescriptionFalse
transactions,vw_RptIntiqaal
transactions,HistoryIntiqal
transactions,vw_RptIntiqalKhatuniDescription_patadar
transactions,HistoryIntiqalCharges
transactions,vw_RptIntiqalKhatuniDescriptionFalseHistory
transactions,vw_ShajraParchaImages
transactions,vw_RptIntiqalKhasraInfoIsNewTrue_Khatuni
transactions,HistoryGardawri
transactions,vw_RptIntiqalKhatuniDescriptinTabadla
transactions,Gardawri
transactions,vw_RptIntiqalKhasraInfoIsNewTrue
transactions,vw_RptIntiqalKhasraInfoIsNewFalse_Khatuni
transactions,vw_RptIntiqalTotalAreaAvg
transactions,FtpPath
transactions,vw_RptIntiqalKhasraInfoIsNewFalse
transactions,vw_RptIntiqalInfo
transactions,vw_TaghayarKhasra
transactions,vw_GetTaghayarKhatuni
transactions,vw_SearchTaghayarKhasra
transactions,vw_RptTaghayar
transactions,vw_IntiqalTateema
transactions,vw_TaghayarByKhasra
transactions,vw_GetIntiqalKhasra
transactions,vw_GetIntiqalErrors
transactions,vw_GetIntiqal
transactions,vw_GetGardawri
transactions,vw_GetGardawariAreaBySeason
transactions,vw_GardawariRemarks
transactions,vw_GardawariKhasra
transactions,vw_IntiqalInfo
transactions,vw_IntiqalInfowithPOA
transactions,vw_MonthlyIntiqalCount
transactions,vw_GardawariByCrop
transactions,vw_MonthlyIntiqalFeeCollection
transactions,TransactionImages
transactions,TashkheesMaalia
transactions,TaghayarKhatuni
transactions,TransactionRemarks
transactions,vw_RptGardawari
transactions,TransactionVisitorInfo
transactions,TransactionOperations
transactions,Taghayar
transactions,specialintiqals
transactions,StateBeforeIntiqal
transactions,TaghayarKhasra
transactions,TaghayarCultivator
transactions,RdInfo
transactions,ScanImages
transactions,IntiqalTrees
transactions,IntiqalTateema
transactions,IntiqalReport
transactions,IntiqalCourtOrder
transactions,vw_TaghayarInprocess
transactions,vw_Taghayar
transactions,vw_TaghayarInprogress
transactions,IntiqalErrors
transactions,vw_TransactionRemarks
transactions,vw_TransactionVisistorInfo
transactions,IntiqalKhasra
transactions,vw_WorkflowTransactions
transactions,IntiqalLogicalPartition
transactions,IntiqalKhatuni
transactions,vw_TransactionOperations
transactions,vw_RptIntiqalPersonShare_bfImp
transactions,IntiqalPatta
transactions,vw_ChallanFormSehatNama
transactions,IntiqalMauza
transactions,vw_RptIntiqal
transactions,Intiqal
transactions,vw_RptIntiqalPersonIsNewFalseTaqseemALLKhewats
transactions,vw_RptIntiqalPersonIsNewTrue
transactions,vw_Fak_Rahin
transactions,IntiqalBankOrder
transactions,vw_RptIntiqalPersonIsNewTrue_khanakasht
transactions,vw_RptIntiqalFakRahinWithoutRef
transactions,vw_RptIntiqalPersonShare-KhanaKasht
transactions,IntiqalCharges
transactions,vw_RptIntiqalPersonTaqseemIsNewTrue
transactions,vw_RptIntiqalFakRahin
transactions,vw_RptIntiqalRemainingShareIsNewFalse
transactions,IntiqalChecks
transactions,vw_RptNaqshaJinswar
transactions,HistoryIntiqalRegistery
transactions,vw_RptIntiqalPerson
transactions,HistoryIntiqalPatta
transactions,vw_RptIntiqalKhatuniDescriptionTrueByKhasra
transactions,HistoryIntiqalPersonInfo
transactions,vw_RptIntiqalMuthen
transactions,HistoryTaghayar
transactions,vw_RptIntiqalPersonIsNewFalse
transactions,HistoryIntiqalPersonShare
transactions,vw_RptIntiqalOldPersonDetailByKhatuni
transactions,vw_RptIntiqalReference
transactions,HistoryTaghayarCultivator
transactions,vw_RptIntiqalPersonIsNewFalse_khanakasht
transactions,Inbox
transactions,vw_RptIntiqalPersonIsNewFalseALLKhewats
transactions,IntiqalPersonInfo
transactions,vw_RptCountIntiqalStatus
transactions,IntiqalPersonShare
transactions,IntiqalRegistery
